"JURISDICTION","AGE_GROUP","MONTH","LOCATION","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
"WA","17-25","May","Unknown",69,0,1
"WA","17-25","November","Unknown",57,0,2
"WA","17-25","October","Unknown",52,0,0
"WA","17-25","September","Unknown",42,0,2
"WA","26-39","April","Unknown",136,0,2
"WA","26-39","August","Unknown",107,2,8
"WA","26-39","December","Unknown",78,0,2
"WA","26-39","February","Unknown",155,1,12
"WA","26-39","January","Unknown",178,0,5
"WA","26-39","July","Unknown",115,0,4
"WA","26-39","June","Unknown",124,0,1
"WA","26-39","March","Unknown",184,0,12
"WA","26-39","May","Unknown",171,0,6
"WA","26-39","November","Unknown",108,0,1
"WA","26-39","October","Unknown",92,0,2
"WA","26-39","September","Unknown",64,0,11
"WA","40-64","April","Unknown",90,0,3
"WA","40-64","August","Unknown",96,0,5
"WA","40-64","December","Unknown",55,0,5
"WA","40-64","February","Unknown",125,1,4
"WA","40-64","January","Unknown",123,1,10
"WA","40-64","July","Unknown",92,0,4
"WA","40-64","June","Unknown",103,0,4
"WA","40-64","March","Unknown",166,0,4
"WA","40-64","May","Unknown",121,0,3
"WA","40-64","November","Unknown",90,1,3
"WA","40-64","October","Unknown",101,0,3
"WA","40-64","September","Unknown",65,0,2
"WA","65 and over","April","Unknown",12,0,1
"WA","65 and over","August","Unknown",3,0,0
"WA","65 and over","December","Unknown",5,0,0
"WA","65 and over","February","Unknown",19,0,1
"WA","65 and over","January","Unknown",19,0,1
"WA","65 and over","July","Unknown",10,0,1
"WA","65 and over","June","Unknown",13,0,0
"WA","65 and over","March","Unknown",21,0,0
"WA","65 and over","May","Unknown",17,0,1
"WA","65 and over","November","Unknown",6,0,0
"WA","65 and over","October","Unknown",10,0,0
"WA","65 and over","September","Unknown",12,0,1
